"","subj_idx","stim","response","rt","condition"
"121","1001","0.5","0",3.8984482090018,"1"
"122","1001","1.5","0",1.56325645800098,"1"
"123","1001","1.5","0",2.7003540420119,"1"
"124","1001","-1.5","1",0.739758792013163,"-1"
"125","1001","-1.5","1",0.845652416013763,"-1"
"126","1001","-0.5","1",0.731907874986064,"-1"
"127","1001","-0.5","1",1.52803583300556,"-1"
"128","1001","-0.5","1",2.25269066600595,"-1"
"129","1001","0","1",0.821924000003492,"-1"
"130","1001","0","0",1.17151012500108,"-1"
"131","1001","0","0",0.966402709003887,"-1"
"132","1001","0","1",0.95677079098823,"-1"
"133","1001","0","1",1.1555960419937,"-1"
"134","1001","0","1",0.939998875008314,"-1"
"135","1001","0","0",1.29442295798799,"-1"
"136","1001","0","1",0.697144834004575,"-1"
"137","1001","0","1",1.64073908299906,"-1"
"138","1001","0","1",0.765203666989692,"-1"
"139","1001","0","1",0.941058040989446,"-1"
"140","1001","0","0",1.06116087500413,"-1"
"141","1001","0","1",1.0847979579994,"-1"
"142","1001","0","1",1.01783199999772,"-1"
"143","1001","0","1",0.823175291996449,"-1"
"144","1001","0","1",1.00106708300882,"-1"
"145","1001","0.5","0",1.28979550000804,"-1"
"146","1001","0.5","1",0.744470417004777,"-1"
"147","1001","1.5","1",0.828063541004667,"-1"
"148","1001","1.5","1",2.8623384579987,"-1"
"149","1001","-1.5","1",2.08563037500426,"0"
"150","1001","-1.5","1",1.0201206250058,"0"
"151","1001","-0.5","1",1.82141270799912,"0"
"152","1001","-0.5","1",1.36016004199337,"0"
"153","1001","0","1",1.04540833299689,"0"
"154","1001","0","1",1.01345804099401,"0"
"155","1001","0","1",1.07988645900332,"0"
"156","1001","0","1",0.590348750003614,"0"
"157","1001","0","1",1.74552395900537,"0"
"158","1001","0","1",1.50622395800019,"0"
"159","1001","0","1",1.20222183299484,"0"
"160","1001","0","1",1.02378758299164,"0"
"161","1001","0","1",0.849569540994707,"0"
"162","1001","0","1",1.19329233399185,"0"
"163","1001","0","1",0.938527208010782,"0"
"164","1001","0","0",1.24513374999515,"0"
"165","1001","0","1",1.77717770799063,"0"
"166","1001","0","1",1.81087820899847,"0"
"167","1001","0","1",0.711538666000706,"0"
"168","1001","0","1",2.27550099999644,"0"
"169","1001","0.5","1",1.05138270799944,"0"
"170","1001","0.5","1",2.25744437500543,"0"
"171","1001","0.5","1",3.09902433399111,"0"
"172","1001","1.5","0",1.64502462498785,"0"
"173","1001","1.5","0",0.938010041994858,"0"
"174","1001","-1.5","1",1.4240805409936,"1"
"175","1001","-1.5","1",0.798250916996039,"1"
"176","1001","-0.5","1",1.32498916699842,"1"
"177","1001","-0.5","1",0.903175999992527,"1"
"178","1001","0","1",0.914247624998097,"1"
"179","1001","0","1",1.4143146250135,"1"
"180","1001","0","1",0.772387000004528,"1"
"181","1001","0","1",1.06068791699363,"1"
"182","1001","0","1",1.03515608300222,"1"
"183","1001","0","1",1.23081770799763,"1"
"184","1001","0","1",0.93135029199766,"1"
"185","1001","0","0",1.64390612499847,"1"
"186","1001","0","0",2.15570662500977,"1"
"187","1001","0","1",1.59185541699117,"1"
"188","1001","0","1",2.59114058299747,"1"
