"","subj_idx","stim","response","rt","condition","MotCon"
"115","1001","0","1",1.19222841601004,"1",1
"116","1001","0.5","1",0.813809957995545,"1",1
"117","1001","0","1",0.772387000004528,"1",1
"118","1001","0","1",0.658818582989625,"1",1
"119","1001","0.5","1",0.882495040990761,"1",1
"120","1001","0","1",0.754900917003397,"1",1
"121","1001","0","0",2.15570662500977,"1",-1
"122","1001","-1.5","1",1.4240805409936,"1",1
"123","1001","0","1",2.59114058299747,"1",1
"124","1001","0.5","1",1.52823366600205,"1",1
"125","1001","1.5","0",1.34646200000134,"1",-1
"126","1001","1.5","0",1.36406174999138,"-1",-1
"127","1001","0","0",1.06574337498751,"-1",-1
"128","1001","1.5","1",0.999567833001492,"-1",1
"129","1001","0","1",0.884057082992513,"-1",1
"130","1001","-1.5","1",0.913598415994784,"-1",1
"131","1001","-0.5","1",0.696993375007878,"-1",1
"132","1001","0","1",2.66061791600077,"-1",1
"133","1001","0","1",1.03346883300401,"-1",1
"134","1001","0","1",2.94581983399985,"-1",1
"135","1001","-1.5","1",0.691441332994145,"-1",1
"136","1001","0","1",1.74238858300669,"-1",1
"137","1001","0","1",2.82522279200202,"-1",1
"138","1001","0","1",0.798284083997714,"-1",1
"139","1001","0.5","0",1.68349879200105,"-1",-1
"140","1001","0","1",2.33303470900864,"-1",1
"141","1001","0.5","1",2.10378141699766,"-1",1
"142","1001","0","1",1.94995774999552,"-1",1
"143","1001","0","0",2.286380791993,"-1",-1
"144","1001","0","1",1.52496424999845,"-1",1
"145","1001","0","1",2.55203887500102,"-1",1
"146","1001","-0.5","1",0.786911125003826,"-1",1
"147","1001","0","1",0.913540500012459,"-1",1
"148","1001","0","1",2.88919070799602,"-1",1
"149","1001","0","0",1.16620016600064,"0",0
"150","1001","0","0",1.04031254099391,"0",0
"151","1001","0","0",1.24096779200772,"0",0
"152","1001","0","0",1.33093233400723,"0",0
"153","1001","0","0",0.82473791699158,"0",0
"154","1001","0","0",0.854818541993154,"0",0
"155","1001","0.5","1",3.1864068750001,"0",0
"156","1001","0","1",1.01087820800603,"0",0
"157","1001","-1.5","1",0.898581957997521,"0",0
"158","1001","0","1",3.15825024999504,"0",0
"159","1001","0","0",1.93911041699175,"0",0
"160","1001","-0.5","1",1.20154662500136,"0",0
"161","1001","0","0",2.20807574999344,"0",0
"162","1001","-0.5","1",1.04577758300002,"0",0
"163","1001","0","1",1.64654058399901,"0",0
"164","1001","-1.5","0",2.67976937501226,"0",0
"165","1001","1.5","1",1.3375792089937,"0",0
"166","1001","0","1",0.930795708001824,"0",0
"167","1001","0","1",0.860120666999137,"0",0
"168","1001","0","1",1.80256625000038,"0",0
"169","1001","-0.5","1",0.704240958002629,"0",0
"170","1001","0.5","1",1.18609049999213,"0",0
"171","1001","0","1",1.19815799999924,"0",0
"172","1001","1.5","0",1.49965387499833,"0",0
"173","1001","-0.5","1",1.75833616599266,"-1",1
"174","1001","0","0",1.16372337499342,"-1",-1
"175","1001","0.5","1",1.98208429198712,"-1",1
"176","1001","0","0",1.37818537499697,"-1",-1
"177","1001","0","1",0.949916416997439,"-1",1
"178","1001","-1.5","1",0.4632184170041,"-1",1
"179","1001","1.5","1",0.625808415992651,"-1",1
"180","1001","0","0",1.81794920800894,"-1",-1
"181","1001","0","1",1.20906350000587,"-1",1
"182","1001","-1.5","1",0.826810999991721,"-1",1
"183","1001","1.5","0",3.00993487499363,"-1",-1
"184","1001","0","0",1.42825541699131,"-1",-1
"185","1001","0.5","0",2.78170454200881,"-1",-1
"186","1001","0","1",1.07488754199585,"-1",1
"187","1001","0","1",1.00295637499948,"-1",1
"188","1001","0","0",1.84099645899551,"-1",-1
"189","1001","0","1",0.943055458003073,"-1",1
"190","1001","0","1",1.25019312500081,"-1",1
"191","1001","0","1",0.877783207994071,"-1",1
"192","1001","0","1",0.923146959001315,"-1",1
"193","1001","0","1",0.882743041991489,"-1",1
"194","1001","0.5","1",1.04809066699818,"-1",1
"195","1001","-0.5","1",1.66175437498896,"-1",1
"196","1001","0","1",1.30004808299418,"-1",1
"197","1001","0","1",1.88739995799551,"-1",1
"198","1001","1.5","0",2.7003540420119,"1",-1
"199","1001","1.5","0",1.56325645800098,"1",-1
"200","1001","0","1",1.56507283299288,"1",1
"201","1001","0","1",2.06164020799042,"1",1
"202","1001","0","1",1.19634895800846,"1",1
"203","1001","0","1",0.810103666997747,"1",1
"204","1001","0","1",0.808715999999549,"1",1
"205","1001","0","1",0.732789375004359,"1",1
"206","1001","0","1",1.22392133298854,"1",1
"207","1001","0","0",1.53143499999715,"1",-1
"208","1001","0","0",1.48661266699492,"1",-1
"209","1001","0","0",1.65529983300075,"1",-1
"210","1001","0","1",1.74512862499978,"1",1
"211","1001","-1.5","1",1.02914237500227,"1",1
"212","1001","0.5","0",1.71983816599823,"1",-1
"213","1001","0","1",0.857445082991035,"1",1
"214","1001","-1.5","1",0.979376667004544,"1",1
"215","1001","0.5","0",3.8984482090018,"1",-1
"216","1001","0","0",0.992866458007484,"1",-1
"217","1001","-0.5","1",1.24487208299979,"1",1
"218","1001","0","1",1.4164179579966,"1",1
"219","1001","-0.5","1",1.07384154200554,"1",1
"220","1001","0","1",2.44303958299861,"1",1
"221","1001","0","0",1.37791545799701,"1",-1
"222","1001","1.5","0",1.23691125000187,"1",-1
"223","1001","0","1",3.11719758399704,"1",1
"224","1001","0","1",0.851970916002756,"1",1
"225","1001","0","0",0.892257084007724,"1",-1
"226","1001","0","1",0.843809041994973,"1",1
"227","1001","-1.5","1",0.793753915990237,"1",1
"228","1001","0","1",0.792777792012203,"1",1
"229","1001","-0.5","1",0.729838708997704,"1",1
"230","1001","-0.5","1",0.630167041992536,"1",1
"231","1001","0.5","1",3.34640224999748,"1",1
"232","1001","0","1",0.750737249996746,"1",1
"233","1001","0.5","1",1.22368499998993,"1",1
"234","1001","0","1",0.880101500006276,"1",1
"235","1001","0","1",1.03873625000415,"1",1
"236","1001","0","1",0.766612624996924,"1",1
"237","1001","0","1",1.06940887500241,"1",1
"238","1001","0","1",0.79352975000802,"1",1
"239","1001","0","1",1.22635833300592,"1",1
"240","1001","0","1",2.44624141699751,"1",1
"241","1001","-1.5","1",0.901352041008067,"1",1
"242","1001","0.5","1",1.07163962500636,"1",1
"243","1001","0","1",1.23267887499242,"1",1
"244","1001","0","1",1.36213175000739,"1",1
"245","1001","1.5","0",1.57955279199814,"1",-1
"246","1001","0","1",0.798493999987841,"1",1
"247","1001","0","0",2.03368724999018,"0",0
"248","1001","0","0",2.69130212499294,"0",0
"249","1001","1.5","0",1.1524754580023,"0",0
"250","1001","0","1",1.22144654199656,"0",0
"251","1001","0","1",1.01001516600081,"0",0
"252","1001","0","1",1.67815849999897,"0",0
"253","1001","-1.5","1",0.859112209000159,"0",0
"254","1001","0","1",0.942102000000887,"0",0
"255","1001","0","1",2.76362800000061,"0",0
"256","1001","0.5","1",0.82254454199574,"0",0
"257","1001","1.5","0",1.13381545800075,"0",0
"258","1001","0","1",1.06918962499185,"0",0
"259","1001","0","0",2.64285941699927,"0",0
"260","1001","0","0",1.01847425001324,"0",0
"261","1001","0","1",0.934625291993143,"0",0
"262","1001","-0.5","1",0.814606750005623,"0",0
"263","1001","-0.5","1",1.01984249999805,"0",0
"264","1001","0","1",0.787759166996693,"0",0
"265","1001","0","0",0.971399041998666,"0",0
"266","1001","0.5","1",1.42675541598874,"0",0
"267","1001","0","1",1.14164741701097,"0",0
"268","1001","0.5","0",1.28813216699928,"0",0
"269","1001","0","1",1.33619004199863,"0",0
"270","1001","0","1",0.743808082988835,"0",0
"271","1001","-1.5","1",0.79655445899698,"0",0
"272","1001","0","1",1.00106708300882,"-1",1
"273","1001","-0.5","1",2.25269066600595,"-1",1
"274","1001","-1.5","1",0.845652416013763,"-1",1
"275","1001","0","1",0.765203666989692,"-1",1
"276","1001","0","1",1.1555960419937,"-1",1
"277","1001","1.5","1",0.828063541004667,"-1",1
"278","1001","0","1",1.64073908299906,"-1",1
"279","1001","0","1",0.941058040989446,"-1",1
"280","1001","0","0",1.06116087500413,"-1",-1
"281","1001","0","1",1.01783199999772,"-1",1
"282","1001","0","0",1.29442295798799,"-1",-1
"283","1001","-0.5","1",0.731907874986064,"-1",1
"284","1001","0.5","0",1.28979550000804,"-1",-1
"285","1001","-0.5","1",1.52803583300556,"-1",1
"286","1001","0","0",0.966402709003887,"-1",-1
"287","1001","0","1",1.0847979579994,"-1",1
